Entity 1;Entity 2;Users’ Questions;Chatbot answers: theory;Chatbot answers: examples;;;;;;;;;;;;;;;
past continuous;sentence;How to form a sentence in past continuous?;"The past continuous describes actions or events in a time before now, which began in the past and is still going on at the time of speaking. In other words, it expresses an unfinished or incomplete action in the past. The past continuous of any verb is composed of two parts : the past tense of the verb ""to be"" (was/were), and the base of the main verb +ing.";I was reading when she arrived. What were you doing when she arrived?;;;;;;;;;;;;;;;
present perfect;sentence;How to form a sentence in present perfect?;The present perfect is used to indicate a link between the present and the past. The time of the action is before now but not specified, and we are often more interested in the result than in the action itself. The present perfect of any verb is composed of two elements : the appropriate form of the auxiliary verb to have (present tense), plus the past participle of the main verb. The past participle of a regular verb is base+ed, e.g. played, arrived, looked.;I have lived here since 1987. Has she lived there since her birth?;;;;;;;;;;;;;;;
present perfect continuous;sentence;How to form a sentence in present perfect continuous?;The present perfect continuous is used to refer to an unspecified time between 'before now' and 'now'. The speaker is thinking about something that started but perhaps did not finish in that period of time. He/she is interested in the process as well as the result, and this process may still be going on, or may have just finished. The present perfect continuous is made up of two elements: the present perfect of the verb 'to be'(have/has been), and the present participle of the main verb (base+ing).;I have been living here for years. Have you been playing the piano for years?;;;;;;;;;;;;;;;
past perfect;sentence;How to form a sentence in past perfect?;The past perfect refers to a time earlier than before now. It is used to make it clear that one event happened before another in the past. It does not matter which event is mentioned first - the tense makes it clear which one happened first. The Past Perfect tense in English is composed of two parts: the past tense of the verb to have (had) + the past participle of the main verb.;We had been there several times before she visited us. Had they been there several times before she came to them?;;;;;;;;;;;;;;;
past perfect continuous;sentence;How to form a sentence in past perfect continuous?;The past perfect continuous corresponds to the present perfect continuous, but with reference to a time earlier than 'before now'. As with the present perfect continuous, we are more interested in the process. The past perfect continuous is composed of two elements - the past perfect of the verb to be (=had been) + the present participle (base+ing).;He had been watching her for some time when she turned and smiled. Had he been writing a letter when she arrived? ;;;;;;;;;;;;;;;
future perfect;sentence;How to form a sentence in future perfect?;"The future perfect tense refers to a completed action in the future. When we use this tense we are projecting ourselves forward into the future and looking back at an action that will be completed some time later than now. It is most often used with a time expression. The future perfect is composed of two elements the simple future of the verb ""to have"" (will have) + the past participle of the main verb.";We will have arrived in the States by the time you get this letter. Will she have arrived to Germany by the time I get that invitation card?;;;;;;;;;;;;;;;
future perfect continuous;sentence;How to form a sentence in future perfect continuous?;"Like the future perfect simple, this form is used to project ourselves forward in time and to look back. It refers to events or actions that are currently unfinished but will be finished at some future time. It is most often used with a time expression. The future perfect continuous is composed of two elements the future perfect of the verb ""to be"" (will have been) + the present participle of the main verb (base + ing).";By the end of your course, you will have been studying for five years. Will you have been studying for 2 years by the end of the Master Program?;;;;;;;;;;;;;;;
future simple;sentence;How to form a sentence in future simple?;The simple future refers to a time later than now, and expresses facts or certainty. In this case there is no ‘attitude’. The simple future tense is composed of two parts: will / shall + the infinitive without to.;They will go to Italy next week. Will they go to France next year?;;;;;;;;;;;;;;;
future continuous;sentence;How to form a sentence in future continuous?;The future continuous refers to an unfinished action or event that will be in progress at a time later than now. The future continuous is used for quite a few different purposes.The future continuous can be used to project ourselves into the future. The future continuous is made up of two elements: the simple future of the verb 'to be' + the present participle (base+ing);I will be travelling by train. Will you be travelling?;;;;;;;;;;;;;;;
conditional 0;;What is 0 conditional?;"In zero conditional sentences, the tense in both parts of the sentence is the simple present. As in all conditional sentences, the order of the clauses is not fixed. You may have to rearrange the pronouns and adjust punctuation when you change the order of the clauses, but the meaning is identical. In zero conditional sentences, you can replace ""if"" with ""when"", because both express general truths. The meaning will be unchanged.";If ice gets hot it melts.;;;;;;;;;;;;;;;
conditional 1;;What is special about type 1 conditional?;In a Type 1 conditional sentence, the tense in the 'if' clause is the simple present, and the tense in the main clause is the simple future. The type 1 conditional refers to a possible condition and its probable result. These sentences are based on facts, and they are used to make statements about the real world, and about particular situations. We often use such sentences to give warnings. In type 1 conditional sentences, the time is the present or future and the situation is real.;If he is late I will be angry.;;;;;;;;;;;;;;;
conditional 2;;How to use a type 2 conditional?;In a Type 2 conditional sentence, the tense in the 'if' clause is the simple past, and the tense in the main clause is the present conditional or the present continuous conditional. The type 2 conditional refers to an unlikely or hypothetical condition and its probable result. These sentences are not based on the actual situation. In type 2 conditional sentences, the time is now or any time and the situation is hypothetical.;If he was in Australia he would be getting up now.;;;;;;;;;;;;;;;
conditional 3;;What is a type 3 conditional?;In a Type 3 conditional sentence, the tense in the 'if' clause is the past perfect, and the tense in the main clause is the perfect conditional or the perfect continuous conditional. The type 3 conditional refers to an impossible condition in the past and its probable result in the past. These sentences are truly hypothetical and unreal, because it is now too late for the condition or its result to exist. There is always some implication of regret with type 3 conditional sentences. The reality is the opposite of, or contrary to, what the sentence expresses. In type 3 conditional sentences, the time is the past and the situation is hypothetical.;She would have visited me if she had had time.;;;;;;;;;;;;;;;
mixed conditional;sentence;How to form a sentence in a mixed conditional?;"This type of mixed conditional refers to an unreal past condition and its probable result in the present. These sentences express a situation which is contrary to reality both in the past and in the present. In these mixed conditional sentences, the time is the past in the ""if"" clause and in the present in the main clause. In this type of mixed conditional sentence, the tense in the 'if' clause is the past perfect, and the tense in the main clause is the present conditional.";I would be playing tennis if I hadn't broken my arm.;;;;;;;;;;;;;;;
gerund;What;What is gerund?;The gerund looks exactly the same as a present participle, but it is useful to understand the difference between the two. The gerund always has the same function as a noun (although it looks like a verb). Some uses of the gerund are covered on this page. A separate page deals with verbs that are followed by the gerund.;I like swimming.;;;;;;;;;;;;;;;
present participle;What;What is present participle?;The present participle of most verbs has the form base+ing. It is used in many different ways. This construction is particularly useful with the verb to go.;She goes running every morning.;;;;;;;;;;;;;;;
infinitive;What;What is an infinitive?;The infinitive is the base form of a verb. In English, when we talk about the infinitive we are usually referring to the present infinitive, which is the most common. There are, however, four other forms of the infinititive: the perfect infinitive, the perfect continuous infinitive, the continuous infinitive, & the passive infinitive. The present infinitive has two forms: 1) the to-infinitive = to + base 2) the zero infinitive = base. The present infinitive base is the verb form you will find in a dictionary.;I decided not to go to London. She came to collect her pay cheque. To be or not to be, that is the question.;;;;;;;;;;;;;;;
passive voice;sentence;How to form a sentence in a passive voice?;"The passive voice is used to show interest in the person or object that experiences an action rather than the person or object that performs the action. In other words, the most important thing or person becomes the subject of the sentence. The passive voice in English is composed of two elements:
the appropriate form of the verb 'to be' + past participle";The passive voice is used frequently. The house was built in 1654. All the cookies have been eaten.;;;;;;;;;;;;;;;
passive voice;infinitives;How to use passive voice with infinitives?;The infinitive passive voice is used after modal verbs and other most verbs normally followed by an infinitive.;You have to be tested on your English grammar. She wants to be invited to the party.;;;;;;;;;;;;;;;
passive voice;gerund;How to form a passive voice with a gerund?;Gerunds are used after prepositions and verbs normally followed by a gerund.;I remember being taught to drive. The children are excited to be taken to the zoo.;;;;;;;;;;;;;;;
present simple;sentence;How to make a sentence in present simple?;"In the third person singular the verb always ends in -s: he wants, she needs, he gives, she thinks.
";He wants to become a doctor. She likes that book.;;;;;;;;;;;;;;;
present simple;question;How to make a question in present simple?;Negative and question forms use DOES (= the third person of the auxiliary 'DO') + the infinitive of the verb.;He wants ice cream. Does he want strawberry? He does not want vanilla.;;;;;;;;;;;;;;;
present simple;-y;How to make a sentence in present simple with verbs ending in -y?;Verbs ending in -y : the third person changes the -y to -ies: fly --> flies, cry --> cries. Exception: if there is a vowel before the -y: play --> plays, pray --> prays;I like to fly. She flies often. He plays a violin.;;;;;;;;;;;;;;;
present simple;sentence;How to form a sentence with a verb ending in -ch in present simple?;"Add -es to verbs ending in:-ss, -x, -sh, -ch: he passes, she catches, he fixes, it pushes
";The dogs catch the cats. She watches TV every day. It mixes the sand and the water.;;;;;;;;;;;;;;;
continuous;verb;Can I form the continuous form with any verb?;There’re some verbs that are normally used in the simple form because they refer to states, rather than actions or processes. Those are usually the verbs that express senses, opinion, mental states, emotions, or measurement.;"feel, hear, see, smell, taste, assume, believe, consider, doubt, forget, imagine, know, mean, notice, envy, fear, dislike, hate, hope, like, contain, cost, hold, measure, weigh; look, seem, be, have …";;;;;;;;;;;;;;;
past simple;negative;How to form a negative sentence in past simple?;"For the negative and interrogative simple past form of ""to do"" as an ordinary verb, use the auxiliary ""did"",e.g. We didn't do our homework last night. The negative of ""have"" in the simple past is usually formed using the auxiliary ""did"", but sometimes by simply adding not or the contraction “n't"". The interrogative form of ""have"" in the simple past normally uses the auxiliary “did"".";They weren’t in Rio last summer. We didn’t have any money. Did you have a bicycle when you were young? Did you do much climbing in Switzerland?;;;;;;;;;;;;;;;
past simple;irregular verbs;What are the examples of irregular verbs in past simple?;Some verbs are irregular in the simple past. Here are the most common ones: to go, to give, to come.;He went to a club last night. Did he go to the cinema last night? He didn’t go to bed early last night.;;;;;;;;;;;;;;;
past continuous;sentence;Show me an example of a sentence in past continuous.;"The past continuous of any verb is composed of two parts : the past tense of the verb ""to be"" (was/were), and the base of the main verb +ing.";I was playing. I was not playing. Was I playing? We were playing. We weren’t playing. Were we playing?;;;;;;;;;;;;;;;
present perfect;When;When should I use the present perfect?;You can use the Present Perfect to describe an action or situation that started in the past and continues in the present.;I have lived in Bristol since 1984 (- and I still do).;;;;;;;;;;;;;;;
present perfect;When;When should I use the present perfect?;An action performed during a period that has not yet finished. ;She has been to the cinema twice this week (= and the week isn't over yet.);;;;;;;;;;;;;;;
present perfect;When;When should I use the present perfect?;A repeated action in an unspecified period between the past and now. ;We have visited Portugal several times.;;;;;;;;;;;;;;;
present perfect;When;When should I use the present perfect?;An action that was completed in the very recent past, expressed by 'just'. ;I have just finished my work.;;;;;;;;;;;;;;;
present perfect;When;When should I use the present perfect?;An action when the time is not important. ;He has read 'War and Peace'. (= the result of his reading is important);;;;;;;;;;;;;;;
present simple and present perfect;between;How to choose between present simple and present perfect?;You must always use the Present perfect when the time of an action is not important or not specified.;"""What have you done at school today?"" I use the present perfect because the question is about results : « show me ». The time at which the question is asked is considered as a continuation of the school day.";;;;;;;;;;;;;;;
present simple or present perfect;use;What should I use present simple or present perfect?;You must always use the Simple past when details about the time or place that an action occured are given or requested.;"""What did you do at school today?"" I use the simple past tense because the question is about activities, and the school day is considered finished.
";;;;;;;;;;;;;;;
present perfect;example;Show me an example of a sentence in present perfect.;The present perfect of any verb is composed of two elements : the appropriate form of the auxiliary verb to have (present tense), plus the past participle of the main verb. The past participle of a regular verb is base+ed, e.g. played, arrived, looked.;I have walked. I haven’t walked. Have I walked? We have talked. We haven’t talked. Have we talked?;;;;;;;;;;;;;;;
present perfect continuous;When;When do I need to use present perfect continuous?;You can use it for the actions that started in the past and continue in the present;She has been waiting for you all day (= and she's still waiting now). I've been working on this report since eight o'clock this morning (= and I still haven't finished it). They have been travelling since last October (= and they're not home yet).;;;;;;;;;;;;;;;
present perfect continuous;When;When do I need to use present perfect continuous?;You can use it for actions that have just finished, but we are interested in the results.;"She has been cooking since last night (= and the food on the table looks delicious).
It's been raining (= and the streets are still wet). Someone's been eating my chips (= half of them have gone).";;;;;;;;;;;;;;;
present perfect continuous;question;How to form a question in present perfect continuous?;The present perfect continuous is made up of two elements: the present perfect of the verb 'to be'(have/has been), and the present participle of the main verb (base+ing);"Affirmative: She has been / She's been running.
Negative: She hasn't been running.
Interrogative : Has she been running?
Interrogative negative: Hasn't she been running?";;;;;;;;;;;;;;;
past perfect;just;How to use “just” in past perfect?;'Just' is used with the past perfect to refer to an event that was only a short time earlier than before now, e.g.;The train had just left when I arrived at the station. She had just left the room when the police arrived.;;;;;;;;;;;;;;;
past perfect continuous;reported speech;Do people use past perfect continuous in reported speech?;This form is also used in reported speech. It is the equivalent of the past continuous and the present perfect continuous in direct speech.;"Jane said, ""I have been gardening all afternoon."" = Jane said she had been gardening all afternoon. When the police questioned him, John said, ""I was working late in the office that night."" = When the police questioned him, John told them he had been working late in the office that night.";;;;;;;;;;;;;;;
future perfect;example;Can you give me an example of a sentence in a future perfect form?;"The future perfect is composed of two elements
the simple future of the verb ""to have"" (will have) + the past participle of the main verb";He will have finished. I will have arrived. He won’t have arrived. Won’t they have arrived? By the time you read this I will have left. Will you have eaten when I pick you up?;;;;;;;;;;;;;;;
future continuous;use;When shall I use future continuous?;The future continuous can be used for predicting or guessing about future events.;He’ll be coming the meeting, I expect. You’ll be missing the sunshine once you’re back in England.;;;;;;;;;;;;;;;
future continuous;question;How to form a question in future continuous?;In the interrogative form, the future continuous can be used to ask politely for information about the future. The formula: will + subject + be + V-ing.;Will you be bringing your friend to the pub tonight? Will Jim be coming with us? Will I be sleeping in this room?;;;;;;;;;;;;;;;
future continuous ;special cases;What are some special cases of future continuous usage?;The future continuous can be used to refer to continuous events that we expect to happen in the future.;I’ll be seeing Jim at the conference next week. When he is in Australia he will be staying with friends. I’ll be eating with Jane this evening so I can tell her.;;;;;;;;;;;;;;;
present perfect continuous;future continuous;When is it hard to separate present perfect continuous from future continuous?;When combined with still, the future continuous refers to events that are already happening now and that we expect to continue some time into the future.;In an hour I’ll still be ironing my clothes. Next year will she still be wearing a size six? Unfortunately, sea levels will still be rising in 20 years.;;;;;;;;;;;;;;;
conditional;use;When do we mostly use zero conditional?;The zero conditional is also often used to give instructions, using the imperative in the main clause.;If Bill phones, tell him to meet me at the cinema.  PeAte if you’re not sure what to do. If you want to come, call me before 5:00. Meet me here if we get separated.;;;;;;;;;;;;;;;
Type 1 conditionals;;How to form sentences with modals in Type 1 conditionals?;In type 1 conditional sentences, you can also use modals in the main clause instead of the future tense to express the degree of certainty, permission, or a recommendation about the outcome.;If you drop that glass, it might break. If he calls you, you should go. If you buy my school supplies for me, I will be able to go to the park.;;;;;;;;;;;;;;;
if I was;if I were;Is it correct to say “if I were” instead “if I was”?;"It is correct, and very common, to say ""if I were"" instead of ""if I was"" (subjunctive mood).";If I were taller, I would buy this dress. If I were a plant, I would love the rain.;;;;;;;;;;;;;;;
Type 2 conditional;;Can I use would in Type 2 conditional sentence?;"In type 2 conditional sentences, you can also use modals in the main clause instead of ""would"" to express the degree of certainty, permission, or a recommendation about the outcome.";We might buy a larger house if we had more money. If he called me, I couldn't hear. He could go to the concert if you gave him your ticket.;;;;;;;;;;;;;;;
